source	heading	target
04-html-and-http-loading-features.md	Send 103 Early Hints for critical origins and assets while the server builds the HTML	HTML-24
04-html-and-http-loading-features.md	Do not use HTTP/2 Server Push; it is removed	HTML-24 (verify/04 corrected the reason; the rule gives none)
04-html-and-http-loading-features.md	Cache hashed assets forever and revalidate HTML	HTML-21 (immutable left out: Chromium ignores it)
04-html-and-http-loading-features.md	Compress text with Zstandard or Brotli, and use dictionary compression for versioned bundles	HTML-23, HTML-27
04-html-and-http-loading-features.md	Let servers and CDNs honor the `Priority` header	dropped: server and CDN setup (design §9.1)
04-html-and-http-loading-features.md	Use Client Hints for server-side adaptation only as a Chromium enhancement	dropped: server-side image adaptation; markup srcset covers it (html-media-and-fonts.md)
04-html-and-http-loading-features.md	Respect `Save-Data` by sending less	-> js-live-data-and-network.md (DATA-18)
04-html-and-http-loading-features.md	Let navigations skip service-worker startup with static routing and navigation preload	-> js-live-data-and-network.md (DATA-15)
04-html-and-http-loading-features.md	Server-render web components with declarative shadow DOM	HTML-29 (verify/04 corrected the hydration claim)
04-html-and-http-loading-features.md	Stream slow page regions out of order with `<template for>` (progressive enhancement)	dropped: experimental (design §9.1); support.md §G watch list
04-html-and-http-loading-features.md	Add `<meta name="viewport" content="width=device-width">` to remove the mobile tap delay	HTML-01
04-html-and-http-loading-features.md	Use credentialless iframes when cross-origin isolation is needed for WASM threads	-> js-scheduling-and-workers.md (TASK-12)
04-html-and-http-loading-features.md	Measure render-blocking, delivery and early-hint timing in RUM	-> measure.md §7 (field data); probes.js paint() reads renderBlockingStatus
04-html-and-http-loading-features.md	Deprecated, renamed or removed (quick list)	HTML-16 (nomodule), HTML-19 (rel=prerender), HTML-24 (server push); the list itself -> support.md §E
verify/04-html-and-http-loading-features.verify.md	Missing but important 1. HTTPS DNS records for HTTP/3	dropped: DNS and server setup (design §9.1)
verify/04-html-and-http-loading-features.verify.md	Missing but important 2. Document request latency: redirects, 600 ms, compression	HTML-26, HTML-23
verify/04-html-and-http-loading-features.verify.md	Missing but important 3. HTTP cache partitioning	HTML-18 (self-host), HTML-19 (same-site prefetch)
verify/04-html-and-http-loading-features.verify.md	Missing but important 5. Preconnect for a wss:// host	dropped: not verified in Chromium (verify/04 says so)
05-css-rendering.md	Inline critical CSS and load the rest without blocking render	HTML-09 (verify/05 corrected: a style preload fetches at Highest; the CSP-safe end-of-body link is used)
05-css-rendering.md	Remove unused CSS and split CSS by route	HTML-08
05-css-rendering.md	Replace CSS `@import` with `<link>` elements	HTML-07 (verify/05 corrected the preload-scanner claim for inline style)
05-css-rendering.md	Put a `media` attribute on conditional stylesheets	HTML-08
08-v8-index.md	§8 draft 6. Startup: ship less, split, keep scripts external and stable	HTML-14, HTML-15, HTML-17 (replaced by the checked 09-v8-consolidated.md items)
08-v8-index.md	§8 draft 5. JSON on the fast path (JSON.parse for big static data)	HTML-17; the stringify part -> v8-hot-code.md (V8-10)
08-v8-index.md	§8 draft 7. Native async/await and native Promises	HTML-16 (no transpiled async); home -> v8-hot-code.md (V8-11)
08-v8-index.md	§8 draft 10. Wasm loading with instantiateStreaming	-> js-scheduling-and-workers.md (TASK-14)
09-v8-consolidated.md	Ship less JavaScript at startup; load non-critical features with dynamic `import()` at the moment of user intent	HTML-14
09-v8-consolidated.md	Keep bundling and code splitting for production; write small modules and import only what you use	HTML-13, HTML-15
09-v8-consolidated.md	Preload critical ES modules with `rel="modulepreload"`, never with `rel="preload" as="script"`	HTML-13
09-v8-consolidated.md	Reference startup scripts with `<script src>` (or a preload) so Chrome streams and compiles them off the main thread	HTML-05, HTML-17 (verify/09 corrected the impact wording; no number is used)
09-v8-consolidated.md	Ship startup JavaScript as external UTF-8 http(s) files; never run large code through `eval`, `new Function`, inline scripts or `blob:` URLs	HTML-17
09-v8-consolidated.md	Design for the code cache: external files of at least 1 KiB, stable content-hashed URLs, and a separate vendor chunk	HTML-17, HTML-15 (verify/09 corrected: V8 patch bumps in weekly updates also invalidate)
09-v8-consolidated.md	Keep the startup path deterministic, and run code that must be fast on repeat visits during the top-level run	HTML-17
09-v8-consolidated.md	Precache critical classic scripts in the service worker `install` event	dropped: a Chromium service-worker detail for classic scripts; deep service-worker strategy is out (design §9.1)
09-v8-consolidated.md	Mark one small core startup file with `//# allFunctionsCalledOnLoad`, and make the comment survive the build	HTML-17 (support key explicit-compile-hints)
09-v8-consolidated.md	Wrap only profiled startup-critical function expressions as PIFEs	dropped: a small gain on modern V8; HTML-17 names the compile hint instead
09-v8-consolidated.md	Expect lazily compiled functions to compile on the main thread at their first call; keep the first-interaction path small	HTML-14 (warm on intent)
09-v8-consolidated.md	Verify compile and code-cache behavior with a trace and V8 logs in a clean profile	dropped: needs Chrome flags and a clean profile outside DevTools MCP; HTML-17 Verify uses measure.md#start (verify/09 corrected the trace field names)
09-v8-consolidated.md	Ship modern syntax untranspiled to Baseline targets; drop `nomodule` fallback bundles	HTML-16
09-v8-consolidated.md	Minify production bundles: strip whitespace and comments, mangle local names, move legal comments out	dropped: a bundler default (no-op test, design §9.1)
09-v8-consolidated.md	Write identifiers in ASCII, and keep non-ASCII text in string data served as UTF-8	dropped: low impact
09-v8-consolidated.md	Write module scripts without `defer`; use `async` only for independent modules; resolve assets with `import.meta.url`	HTML-04
09-v8-consolidated.md	Use dynamic `import()` for lazy evaluation today; re-check support before you rely on `import defer`	HTML-14 (verify/09 corrected the import defer status; support key import-defer)
09-v8-consolidated.md	Ship large static data (10 kB or more) as JSON: `JSON.parse('…')`, a bundler JSON import, or a JSON module	HTML-17
09-v8-consolidated.md	Inline server data in HTML as a `<script type="application/json">` block and parse it with `JSON.parse`	HTML-28 (verify/09 corrected the escape to <)
09-v8-consolidated.md	Keep top-level `await` out of shared modules; await only in the entry module or behind an exported init function	-> js-scheduling-and-workers.md (TASK-17)
09-v8-consolidated.md	Emit ESM output when any module uses top-level await	-> js-scheduling-and-workers.md (TASK-17)
09-v8-consolidated.md	Do not treat `DOMContentLoaded` or `load` as "app ready" when entry modules use top-level await; publish a ready signal	-> js-scheduling-and-workers.md (TASK-17)
09-v8-consolidated.md	Declare instance state as native class fields and compile TypeScript to ES2022 or later	HTML-16 (the ES2022 target); the field rule -> v8-hot-code.md (V8-03)
09-v8-consolidated.md	Obsolete advice (myths), rows 11-15, 34, 44-46, 48	HTML-17 (rows 11, 12, 15, 34 as mechanisms), HTML-16 (44), HTML-24 (45), HTML-13 (46); rows 13-14 dropped with PIFEs; row 48 -> TASK-17; the myth list -> support.md §F
verify/09-v8-consolidated.verify.md	Missing but important 3. Weekly security updates also cold-start the caches	HTML-17
verify/09-v8-consolidated.verify.md	Missing but important 4. Debug streaming and cache misses from trace fields	dropped: trace-summary.mjs does not print v8.compile arguments; HTML-17 Verify uses compileMs
verify/09-v8-consolidated.verify.md	Missing but important 5. Local compile hints skip ES modules	HTML-17 (Avoid)
16-explore-fast-batch-01.md	Start the LCP image at High priority with `fetchpriority="high"` instead of waiting for the layout boost	-> html-media-and-fonts.md (MEDIA-02)
16-explore-fast-batch-01.md	Pair `preload` (for discovery) with `fetchpriority="high"` (for priority) for CSS-background and poster LCP images	HTML-12 (verify/16 group 01 corrected: fetchpriority on both the preload and the img)
16-explore-fast-batch-01.md	Lower in-viewport-but-unimportant images with `fetchpriority="low"` rather than relying on `loading="lazy"`	-> html-media-and-fonts.md (MEDIA-02)
16-explore-fast-batch-01.md	Raise important `async` scripts with `fetchpriority="high"` instead of the preload hack, and lower late parser-blocking scripts with `fetchpriority="low"`	HTML-05
16-explore-fast-batch-01.md	Give background data fetches `priority: 'low'` so they do not compete with fetches that respond to user input	-> js-live-data-and-network.md (DATA-13)
16-explore-fast-batch-01.md	Lower non-critical preloads with `fetchpriority="low"`, including a non-blocking stylesheet preload	HTML-09 (a style preload stays High), HTML-12
16-explore-fast-batch-01.md	Treat `fetchpriority` as relative, and know where it cannot help	HTML-05, HTML-08
16-explore-fast-batch-01.md	Place preloads by type so that preloads do not delay one another	HTML-02, HTML-13; the Link-header fact (verify/16 group 01) -> HTML-12
16-explore-fast-batch-01.md	Check the priority each request actually got in DevTools before and after you add hints	dropped: a human DevTools column; HTML-10 and HTML-12 Verify use insights and list_network_requests
16-explore-fast-batch-01.md	Split large classic bundles so each `<script>` creates a smaller evaluation task (about 100 KB per script as a starting target)	HTML-15 (verify/16 group 01 corrected: bundler option names, separate tasks in Chromium)
16-explore-fast-batch-01.md	Do not count on `defer` or `type=module` to split evaluation: Chromium runs the ready ones in one task with `DOMContentLoaded`	HTML-04 (verify/16 group 01 corrected: Chromium now runs each in its own task; one bundle is still one task)
16-explore-fast-batch-01.md	Native ES modules: per-module compile tasks help, but unbundled static import chains create request waterfalls, so bundle or `modulepreload` them	HTML-13 (verify/16 group 01 disputed the per-module evaluation claim, so it is left out)
16-explore-fast-batch-01.md	Use dynamic `import()` as split points so each loaded module compiles and evaluates in its own task, and keep each chunk small	HTML-14
16-explore-fast-batch-01.md	Balance chunk size against compression and cache hits, and always use content-hashed file names	HTML-15
16-explore-fast-batch-01.md	Stream HTML from the server so the parser does the chunking and yielding for you	HTML-03 (verify/16 group 01 corrected the framework claim: "check what yours streams")
16-explore-fast-batch-01.md	Keep LCP-critical resource URLs in the server HTML, because the preload scanner cannot see markup that client JS creates	HTML-10, HTML-03
16-explore-fast-batch-01.md	Load RUM and analytics code last and asynchronously, and inline only the tiny part that must run early	HTML-18 (verify/16 group 01 corrected: interactions under 104 ms and resources past 250 entries are lost)
16-explore-fast-batch-01.md	Preconnect to third-party font origins, with `crossorigin` on the origin that serves the font files	HTML-11
16-explore-fast-batch-01.md	Preload fonts only as a targeted fix, and set `crossorigin` and a single format	-> html-media-and-fonts.md (MEDIA-07); crossorigin on preloads is HTML-12
verify/16-explore-fast-batch-01-group.verify.md	Missing but important 1. Chrome 145 separate tasks for deferred and module scripts	HTML-04, HTML-15
verify/16-explore-fast-batch-01-group.verify.md	Missing but important 2. LCP request discovery insight	HTML-10 (Verify)
verify/16-explore-fast-batch-01-group.verify.md	Missing but important 6. Zstandard content encoding	HTML-23
verify/16-explore-fast-batch-01-group.verify.md	Missing but important 7. Compression Dictionary Transport	HTML-27
verify/16-explore-fast-batch-01-group.verify.md	Missing but important 9. Link-header preload on subresource responses is ignored	HTML-12
16-explore-fast-batch-02.md	Put the LCP image URL in the server HTML as `<img src|srcset>`, never behind `data-src` or an inline style	-> html-media-and-fonts.md (MEDIA-01); discovery HTML-10
16-explore-fast-batch-02.md	Prerender likely next pages with speculation rules, and match eagerness to your confidence	HTML-19 (verify/16 group 01 corrected: Safari has no prerender; mobile triggers)
16-explore-fast-batch-02.md	Serve HTML from a CDN edge, and cache it even for a short time	dropped: CDN setup (design §9.1); HTML-21 keeps HTML revalidation
16-explore-fast-batch-02.md	Always set a correct `as` (and `type`) on `rel=preload`	HTML-12 (verify: the 3 s unused-preload warning is confirmed)
16-explore-fast-batch-02.md	Add `crossorigin` when you preload fonts (and other CORS resources)	HTML-12
16-explore-fast-batch-02.md	Preload only late-discovered resources, and only a few	HTML-12
16-explore-fast-batch-02.md	Use preload to separate download from execution of JS	HTML-13 (verify: "some browsers fetch dependencies" is unverified, so the rule says browsers do not have to)
16-explore-fast-batch-02.md	Preload a lazy chunk when the user shows intent, before the interaction needs it	-> js-events-and-input.md (EVT-14); HTML-14 starts import() on intent
16-explore-fast-batch-02.md	Send preload hints in the `Link` response header	HTML-12, HTML-24 (verify/16 group 01 corrected: no preload in a Safari 103; subresource Link preloads ignored)
16-explore-fast-batch-02.md	Preconnect only to the few cross-origin hosts you will use within seconds, with the correct `crossorigin` mode	HTML-11 (verify/16 group 01 corrected: 60 s)
16-explore-fast-batch-02.md	Use `dns-prefetch` for the long tail of third-party origins, in separate `<link>` tags	HTML-11
16-explore-fast-batch-02.md	Send `preconnect` in a `Link` header on subresource responses	HTML-11 (Avoid)
16-explore-fast-batch-02.md	Prefetch next-page or next-route resources at lowest priority, and only cacheable ones	HTML-19 (verify/16 group 01 disputed the stylesheet-subresource claim, so it is left out)
16-explore-fast-batch-02.md	Prefetch on-demand chunks that a later action will need	-> js-events-and-input.md (EVT-14)
16-explore-fast-batch-03.md	Load third-party font CSS with `<link>` plus preconnect, never with CSS `@import`	HTML-07
16-explore-fast-batch-03.md	Do not trust the article's explanation of render-blocking CSS and Safari font blocking	dropped: a note about one article; HTML-08 states the mechanism
16-explore-fast-batch-03.md	Send `Timing-Allow-Origin` on cross-origin LCP images (CDN)	HTML-25 (verify/16 group 03 corrected: a coarsened renderTime exists in all engines)
verify/16-explore-fast-batch-03-group.verify.md	Missing but important 1. zstd window limit (RFC 9659)	HTML-23
verify/16-explore-fast-batch-03-group.verify.md	Missing but important 2. 103 Early Hints from the CDN	HTML-24
verify/16-explore-fast-batch-03-group.verify.md	Missing but important 6. Verify the served encoding in RUM	dropped: field-only fields; -> measure.md §7
16-explore-fast-batch-04.md	Send `Timing-Allow-Origin` on cross-origin assets that affect metrics	HTML-25
16-explore-fast-batch-04.md	Expose backend and CDN phases with the `Server-Timing` header so RUM can split TTFB	HTML-25
16-explore-fast-batch-04.md	Declare a mobile viewport so taps have no 300 ms delay	HTML-01
16-explore-fast-batch-04.md	Pre-compress static text assets at build time with maximum settings, and compress dynamic responses at mid settings	HTML-23 (verify/16 group 03 corrected: the 8 MB zstd window; the find example is not used)
16-explore-fast-batch-04.md	Offer zstd for dynamically compressed responses	HTML-23
16-explore-fast-batch-04.md	Do not compress already-compressed or tiny responses	HTML-23
16-explore-fast-batch-04.md	Compress the HTML document instead of adding many preloads, and compress SVG LCP images	HTML-23, HTML-12
16-explore-fast-batch-04.md	Minify in the build with source maps, not at the CDN edge	dropped: a bundler default (no-op test, design §9.1)
16-explore-fast-batch-04.md	Use Compression Dictionary Transport to ship frequently deployed bundles as deltas (Chromium)	HTML-27 (verify/16 group 03 corrected the CSP scope)
16-explore-fast-batch-04.md	Put the whole site through the CDN, including HTML and uncacheable API responses	dropped: CDN setup (design §9.1)
16-explore-fast-batch-04.md	Give hashed static assets a one-year TTL and add `immutable`	HTML-21 (immutable left out: Chromium ignores it)
16-explore-fast-batch-04.md	Micro-cache hot public dynamic responses at the CDN for a few seconds, and never cache private data there	dropped: CDN setup (design §9.1)
16-explore-fast-batch-04.md	Use long CDN TTLs plus tag-based purge ("hold-till-told") for content that changes at unknown times	dropped: CDN setup (design §9.1)
16-explore-fast-batch-04.md	Normalize cache keys: ignore tracking query params, sort params, and send `No-Vary-Search` for the browser	HTML-26, HTML-19
16-explore-fast-batch-04.md	Do not send `Set-Cookie` or wide `Vary` on cacheable responses	dropped: server and CDN header hygiene (design §9.1)
16-explore-fast-batch-04.md	Target a CDN cache hit ratio of about 90%, and audit cache headers on every static response	dropped: CDN analytics (design §9.1)
16-explore-fast-batch-04.md	Choose tiered caching (edge plus a central shield) when your users are spread thin across PoPs	dropped: CDN setup (design §9.1)
16-explore-fast-batch-04.md	Enable TLS 1.3, HTTP/2 and HTTP/3 at the edge	dropped: protocol setup (design §9.1)
16-explore-fast-batch-04.md	Emit only lowercase, ASCII-safe header names and values before you enable HTTP/2 or HTTP/3	dropped: server setup (design §9.1)
16-explore-fast-batch-04.md	Do not depend on the HTTP/2 priority tree, and do not split bundles into hundreds of tiny files	HTML-15 (Avoid)
16-explore-fast-batch-04.md	Do not invest in AMP or Signed Exchanges for load speed	dropped: no longer a lever; a support.md §E candidate
16-explore-fast-batch-04.md	Keep metric-critical content out of iframes, or instrument inside the iframe	-> measure.md §7
16-explore-fast-batch-05.md	Put the image CDN on the page's own origin, or preconnect to it early	HTML-11 (verify/16 group 05 corrected: 60 s); the image part -> html-media-and-fonts.md
16-explore-fast-batch-05.md	Measure unused JS and CSS before cutting it	HTML-14, HTML-08 (Detect and the "unused at load" caveat)
16-explore-fast-batch-05.md	Import only the sub-modules you use, and prefer SDKs with modular (tree-shakable) APIs	HTML-14
16-explore-fast-batch-05.md	Replace heavy interactive embeds with a facade, and load the real one on interaction	HTML-18 (verify/16 group 05 corrected the Lighthouse audit scope)
16-explore-fast-batch-05.md	Use a static or generated image instead of an interactive embed when interaction is optional	HTML-18 (the facade image)
16-explore-fast-batch-05.md	Remove the embed, or link to it, when no loading technique makes it cheap enough	dropped: a product choice; HTML-18 states the cost
16-explore-fast-batch-05.md	Reserve an embed's final size per breakpoint, then release the reservation	-> html-media-and-fonts.md (MEDIA-04, MEDIA-12)
16-explore-fast-batch-05.md	Treat the embed article's iframe `loading` details as outdated	-> html-media-and-fonts.md (MEDIA-05)
16-explore-fast-batch-05.md	Load the consent script directly in the HTML, async, with early connections to each of its origins	HTML-18, HTML-10
16-explore-fast-batch-05.md	Self-host or service-worker-cache third-party consent scripts, and check their styling chain	HTML-18
16-explore-fast-batch-05.md	Never deliver UX-critical resources through a tag manager	HTML-10
16-explore-fast-batch-05.md	Prefer pixels, then sandboxed templates; limit Custom HTML tags	dropped: tag-manager product details; HTML-18 keeps "late, on narrow triggers"
16-explore-fast-batch-05.md	Fire non-essential tags late, on narrow triggers, with few variables	HTML-18 (verify/16 group 05 corrected the idle comment)
16-explore-fast-batch-05.md	Keep the tag container lean and governed	dropped: tag-manager governance, not code
16-explore-fast-batch-05.md	Measure tags in isolation, not in Preview mode	dropped: tag-manager tooling
16-explore-fast-batch-05.md	Put slides in the initial HTML, not injected by JavaScript	HTML-10; the image part -> html-media-and-fonts.md (MEDIA-01)
16-explore-fast-batch-06.md	Assert facts (bytes, request counts) before conclusions (scores, TTI)	HTML-15 (per-route byte budgets); the Lighthouse CI config dropped: out of scope
16-explore-fast-batch-06.md	Give each route class its own thresholds with assertMatrix	HTML-15 (per-route budgets); the Lighthouse CI syntax dropped: out of scope
verify/16-explore-fast-batch-05-group.verify.md	Missing but important 10. Assert TBT explicitly in LHCI	dropped: Lighthouse CI setup is out of scope
17-collections-batch-03.md	Treat `<link rel="prefetch">` as a short-lived, non-Safari hint, and prefer Speculation Rules for next documents	HTML-19 (verify/17 corrected the sources)
17-collections-batch-03.md	Prefetch on intent: the top N at load time, the rest on hover	HTML-19 (moderate eagerness for documents); data and chunks -> js-events-and-input.md (EVT-14)
verify/17-collections-batch-03-group.verify.md	Missing but important 7. Clear stale speculative prefetches with Clear-Site-Data	dropped: an operational control left out of HTML-19 for lines; the version is in support-parts/html-loading.md
15-gaps-round-1.md	Put one inline import map before the first module script and every modulepreload	HTML-13
15-gaps-round-1.md	Use an import map of hashed chunk URLs to stop cascading cache invalidation and keep V8 code caches warm	HTML-13 (late check: corrected; HTML-13 Avoid fixed)
15-gaps-round-1.md	Add an `integrity` map for module chunks instead of per-tag attributes	dropped: a security control, not a speed lever
15-gaps-round-1.md	Choose rendering by page type: server HTML for public pages, a client-rendered app shell for the logged-in app (heading shortened)	HTML-03
15-gaps-round-1.md	When you do SSR, budget hydration: avoid double-serialized state, and hydrate islands progressively	HTML-03, HTML-28
15-gaps-round-1.md	Set performance budgets with warning and error levels, and gate them in CI against a per-branch baseline	HTML-15
15-gaps-round-1.md	Start module workers with `{type: 'module'}` and preload them with `modulepreload`	dropped: modulepreload for worker entries is not confirmed for Chromium; the worker rule is TASK-10 (late check: disputed; no rule change needed)
15-gaps-round-1.md	Attack TTFB and resource load delay before image bytes when LCP is slow	-> measure.md §4 #load (subpart order)
15-gaps-round-1.md	For complex sites, prefetch likely next pages eagerly and prerender on hover; keep prerendered pages fresh or cancel them	HTML-19 (late check: corrected; no rule change needed)
15-gaps-round-1.md	For MPA sections, stream a precached header and footer around network content from the service worker	dropped: deep service-worker strategy (design §9.1)
15-gaps-round-2.md	Preconnect only to origins the page uses soon; Chromium keeps an unused preconnected socket for about 60 s, not 10 s	HTML-11 (verify/02 and verify/16 groups confirm the 60 s)
15-gaps-round-2.md	Send `Document-Policy: expect-no-linked-resources` only for large HTML documents that link few or no subresources	dropped: a niche hint for large documents without subresources; cut for the line budget
01-critical-rendering-path.md	Use an img element for the LCP image, not a CSS background or data-src	MEDIA-01, MEDIA-13 (verify/01 run2-new corrected the imagesrcset status; the preload attributes go to HTML-12)
01-critical-rendering-path.md	Give the LCP image fetchpriority=high and never lazy-load it	MEDIA-02 (verify/01: images start Low, the first 5 large ones Medium)
01-critical-rendering-path.md	Lazy-load only below-the-fold images and iframes, natively	MEDIA-05
01-critical-rendering-path.md	Know Chrome's tight mode when you order head resources	MEDIA-02 (image part, Why); -> html-loading.md for head order
01-critical-rendering-path.md	Preload only late-discovered critical resources, with as and crossorigin	-> html-loading.md (HTML-12)
01-critical-rendering-path.md	Make critical fonts discoverable early and keep text visible	MEDIA-07, MEDIA-08, MEDIA-09 (verify/01 corrected the size-adjust status)
01-critical-rendering-path.md	Reserve space for images, iframes, canvases and late UI	MEDIA-04, MEDIA-12 (verify/02: no ratio mapping on iframes)
01-critical-rendering-path.md	Decode large images before they enter the frame	MEDIA-06
02-course-loading.md	Reserve space for images and media so late content does not shift layout	MEDIA-04 (verify/02 corrected: iframes need CSS aspect-ratio)
02-course-loading.md	Do not JS-lazy-load images or iframes that are visible at startup	MEDIA-01, MEDIA-05
02-course-loading.md	Do not render the LCP element or critical content with client-side JS	MEDIA-01; -> html-loading.md (HTML-03)
02-course-loading.md	Add fetchpriority="high" to image preloads that are LCP candidates	MEDIA-02, MEDIA-11, MEDIA-13 (verify/02 corrected the versions: in support-parts)
02-course-loading.md	Preload responsive images with imagesrcset and imagesizes, and no href	-> html-loading.md (HTML-12); the Link-header warning is in MEDIA-01 Avoid
02-course-loading.md	Place preloads deliberately in the head	-> html-loading.md (HTML-12)
02-course-loading.md	Mark the likely LCP image fetchpriority="high" and hidden above-the-fold images low	MEDIA-02
02-course-loading.md	Serve images at display size times DPR, and cap at about 2x	MEDIA-03
02-course-loading.md	Use srcset width descriptors together with sizes for fluid images	MEDIA-03, MEDIA-05 (verify/02 corrected: sizes="auto" needs a fallback list; Safari 27 status in support-parts)
02-course-loading.md	Use x descriptors for images that have a fixed CSS size	MEDIA-03
02-course-loading.md	Serve AVIF and WebP with a legacy fallback through picture type sources	MEDIA-03 (Chromium-only target: AVIF directly; picture fallback only outside the support policy)
02-course-loading.md	Use picture media sources to cap sizes on small screens or to art-direct	MEDIA-03 (Avoid)
02-course-loading.md	Negotiate the image format on the server with Accept and Vary, or use an image CDN	MEDIA-03 (Avoid: Vary and cache-key normalization)
02-course-loading.md	Keep the number of image variants small	MEDIA-03 (Avoid)
02-course-loading.md	Choose lossy or lossless per image and tune quality by eye	MEDIA-03 (Do; the "often halves" estimate left out, per verify/02)
02-course-loading.md	Use SVG for line art, diagrams and charts, and optimize it like text	MEDIA-03, MEDIA-17
02-course-loading.md	Lazy-load offscreen images natively, and never the LCP image	MEDIA-05, MEDIA-02
02-course-loading.md	Decode images that JS inserts with img.decode() before you attach them	MEDIA-06
02-course-loading.md	Re-encode video with a modern codec, strip unused audio, and tune CRF	MEDIA-11 (audio removal only); dropped: FFmpeg settings are encoding detail (design §9.1)
02-course-loading.md	List video sources most-efficient first, with a codecs-qualified type	MEDIA-11 (source order in the example); dropped: codec strings and Safari notes, out of the Chromium-only scope
02-course-loading.md	Replace animated GIFs with muted, looping, inline autoplay video	MEDIA-11
02-course-loading.md	Lazy-load below-the-fold autoplay videos with a poster and IntersectionObserver	MEDIA-11 (Avoid: below the loading-lazy-media floor)
02-course-loading.md	Use preload="none" or "metadata" plus a poster for click-to-play video	MEDIA-11 (verify/02: Chrome desktop already defaults to metadata)
02-course-loading.md	Preload the video poster with high priority only when it is the LCP element	MEDIA-11
02-course-loading.md	Add loading="lazy" to below-the-fold video and audio as progressive enhancement	MEDIA-11 (support key loading-lazy-media; 148 partial, 150 full)
02-course-loading.md	Put a facade in front of third-party video embeds	MEDIA-11
02-course-loading.md	Inline @font-face declarations in the head so fonts are discovered early	MEDIA-07
02-course-loading.md	Preload only the one or two critical fonts, with as="font" and crossorigin	MEDIA-07
02-course-loading.md	Never inline font files as base64	MEDIA-07 (Avoid)
02-course-loading.md	Self-host fonts on a fast CDN; if third-party, preconnect to both origins	MEDIA-07 (verify/02: cache partitioning note)
02-course-loading.md	Serve WOFF2 only	MEDIA-10
02-course-loading.md	Subset fonts and map subsets with unicode-range	MEDIA-10
02-course-loading.md	Choose font-display on purpose: optional for performance, swap for brand text	MEDIA-08 (verify/02 corrected: default is auto; fallback and optional still block about 100 ms)
02-course-loading.md	Match fallback font metrics to cut swap layout shift	MEDIA-09
02-course-loading.md	Use fewer font files: system-ui, variable fonts, SVG icons	MEDIA-10
03-course-js-and-vitals.md	Add loading="lazy" to below-the-fold images and iframes	MEDIA-05 (verify/03 corrected the sizes="auto" status)
03-course-js-and-vitals.md	Never lazy-load the LCP image or anything likely above the fold	MEDIA-02
03-course-js-and-vitals.md	Use native lazy loading, not JavaScript libraries, for images and iframes	MEDIA-05
03-course-js-and-vitals.md	Replace heavy third-party embeds with facades	MEDIA-11 (video players); chat widgets and social embeds -> html-loading.md (HTML-18)
03-course-js-and-vitals.md	Lazy-load video, posters and CSS background images yourself (or with native video/audio loading in Chrome 148+)	MEDIA-11 (verify/03 corrected: 148 partial, 150 full); dropped: JS lazy-loading of CSS backgrounds (MEDIA-13 covers a background LCP image)
03-course-js-and-vitals.md	Make the LCP resource discoverable in the initial HTML	MEDIA-01
03-course-js-and-vitals.md	Give the LCP image fetchpriority="high" (only one or two), and lower hidden images	MEDIA-02
03-course-js-and-vitals.md	Serve the LCP resource from the page's own origin	MEDIA-15
03-course-js-and-vitals.md	Remove render-blocking work that delays the LCP element after its resource arrives	-> html-loading.md (render-blocking CSS and scripts); MEDIA-01 Avoid names the effect
03-course-js-and-vitals.md	Do not hide or build the LCP element with JavaScript	MEDIA-14, MEDIA-01
03-course-js-and-vitals.md	Shorten LCP resource load duration: smaller bytes, closer server, less contention, cache	MEDIA-03, MEDIA-15
03-course-js-and-vitals.md	Measure LCP sub-parts in the field, not only in the lab	-> measure.md (§7 field data)
03-course-js-and-vitals.md	Set width and height on every image and video	MEDIA-04
03-course-js-and-vitals.md	Reserve space for ads, embeds, iframes and late content	MEDIA-12
03-course-js-and-vitals.md	Never insert content above existing content without a user action	MEDIA-12
03-course-js-and-vitals.md	Animate transform and opacity, never layout properties	-> css-rendering.md (CSS-01)
03-course-js-and-vitals.md	Minimize font-swap shifts	MEDIA-09, MEDIA-08 (verify/03 corrected the Safari override status; not needed for the Chromium-only target)
04-html-and-http-loading-features.md	Give the LCP image `fetchpriority="high"` and deprioritize competing images	MEDIA-02 (verify/04 corrected the Link-header version: in support-parts)
04-html-and-http-loading-features.md	Never lazy-load the LCP or first-viewport images; lazy-load everything below the fold	MEDIA-05, MEDIA-02
04-html-and-http-loading-features.md	Lazy-load offscreen iframes and put heavy embeds behind a facade	MEDIA-05, MEDIA-11; widget facades -> html-loading.md (HTML-18)
04-html-and-http-loading-features.md	Use `sizes="auto"` on lazy images whose rendered width is only known after layout	MEDIA-05
04-html-and-http-loading-features.md	Serve right-sized, modern-format images with `srcset`/`sizes` and `<picture><source type>`	MEDIA-03 (JPEG XL left out; status in support-parts)
04-html-and-http-loading-features.md	Always set `width` and `height` on `<img>`, `<video>` and `<source>` to reserve space	MEDIA-04
04-html-and-http-loading-features.md	Use `decoding="async"` and `img.decode()` so image decode never holds up a frame	MEDIA-06; createImageBitmap part -> gpu-canvas-and-frames.md (CNV-19)
04-html-and-http-loading-features.md	Lazy-load offscreen `<video>`/`<audio>` and keep `preload` minimal	MEDIA-11
04-html-and-http-loading-features.md	Keep critical resources discoverable by the preload scanner	MEDIA-01; -> html-loading.md for scripts and CSS
05-css-rendering.md	Do not animate large gradient or image backgrounds, and do not ship oversized images	-> css-rendering.md (CSS-15); oversized images: MEDIA-03
